"Item Number","Item Description","Qty 1","UPC","On Order Qty","Department Name","","","","","","","","","","","","","","","",""
"1670","English For All Book 1","4","9789769630802","0","Books","","","","","","","","","","","","","","","",""
"1675","Bic Pens Assorted","424","0070330201293","0","Stationery","","","","","","","","","","","","","","","",""
"1677","WIMPY KID HARD LUCK","2","9780141355481","0","Books","","","","","","","","","","","","","","","",""
"1704","Jamaica S/S Atlas Workbook","11","9780230402782","0","Books","","","","","","","","","","","","","","","",""
"1713","Transparent ruler 12''","41","7453015151411","0","Stationery","","","","","","","","","","","","","","","",""
"1714","U-touch Meachanical Pencil 0.7","55","6935205303035","0","Stationery","","","","","","","","","","","","","","","",""
"1733","Stabilo Superme Eraser","-29","9556091107353","0","Stationery","","","","","","","","","","","","","","","",""
"1532","sticky note 3 x3 Pink","0","7453015108125","0","Stationery","","","","","","","","","","","","","","","",""
"1547","Deli2 Hole Pencil Sharpner 0526","41","6921734905260","0","Stationery","","","","","","","","","","","","","","","",""
"1549","PADDED ENVELOPE 8 1/2 X 12","22","","0","Stationery","","","","","","","","","","","","","","","",""
"1557","Inner City Girl","5","9789768202659","0","Books","","","","","","","","","","","","","","","",""
"1568","CARTRIDGE PAPER NEON PINK","116","","0","Stationery","","","","","","","","","","","","","","","",""
"1569","Felt Flower","1","7453038471534","0","Stationery","","","","","","","","","","","","","","","",""
"1586","SELF ADHESIVE LABLE","1","7453015137217","0","Stationery","","","","","","","","","","","","","","","",""
"1597","ZIPPER BIBLE SMALL","0","","0","Books","","","","","","","","","","","","","","","",""
"1600","Pretty PRINCESS 123","3","9781782700975","0","Books","","","","","","","","","","","","","","","",""
"1615","GLUE STICK SHORT HOT MELT","180","","0","Stationery","","","","","","","","","","","","","","","",""
"1623","STAPLER  STUDMARK 4300","3","7453015103359","0","Stationery","","","","","","","","","","","","","","","",""
"1631","LETTER SIZE  PAD","12","","0","Stationery","","","","","","","","","","","","","","","",""
"344","Little Stars Kindergarden Math 1A","5","9789769579477","0","Books","","","","","","","","","","","","","","","",""
"345","LITTLE STAR  PHONICS WBK 1 A","1","9789769579439","0","Books","","","","","","","","","","","","","","","",""
"346","Little Stars jumbo Preschool","10","9789769579408","0","Books","","","","","","","","","","","","","","","",""
"347","REDISCOVERING MATH KINDER 5","3","9789768245694","0","Books","","","","","","","","","","","","","","","",""
"348","Learning TO WRITE The Smart Way to write","10","9789768237699","0","Books","","","","","","","","","","","","","","","",""
"349","All Around Us Shapes & Numerals","0","0895914001010","0","Books","","","","","","","","","","","","","","","",""
"350","Right Start Writing","5","9789769515147","0","Books","","","","","","","","","","","","","","","",""
"351","Right Start Mathematics B","3","9789769517530","0","Books","","","","","","","","","","","","","","","",""
"352","Right Start Language Arts","7","9789766105303","0","Books","","","","","","","","","","","","","","","",""
"353","Right Start In My world","14","9789768229045","0","Books","","","","","","","","","","","","","","","",""
"354","Right Start  Reader","1","9789766106669","0","Books","","","","","","","","","","","","","","","",""
"355","Right Start Integrated Reader B","6","9789769517516","0","Books","","","","","","","","","","","","","","","",""
"356","Right Start Art, Colours & Shapes","16","9789769515154","0","Books","","","","","","","","","","","","","","","",""
"122","Language Tree Student Book 4","6","9781380009845","0","Books","","","","","","","","","","","","","","","",""
"123","PRIME MATH COURSE BOOK4","2","9789814769914","0","Books","","","","","","","","","","","","","","","",""
"124","INTEGRATED ASSESSMENT PAPERS LANGUAGE ARTS 4","15","9789766380922","0","Books","","","","","","","","","","","","","","","",""
"125","GRADE 4 LANGUAGE ARTS WBK (HAVE FUN WITH PEP)","3","9789769631809","0","Books","","","","","","","","","","","","","","","",""
"126","Language Tree  WORKBOOK 4","17","9780230449336","0","Books","","","","","","","","","","","","","","","",""
"127","READING & WRITING  GRADE 4","3","9780333773789","0","Books","","","","","","","","","","","","","","","",""
"128","Active Engh Success Course Bk 4","6","9789814811897","0","Books","","","","","","","","","","","","","","","",""
"129","ABILITY TEST GRADE 4 PATHWAY TO PEP","7","97897696324017","0","Books","","","","","","","","","","","","","","","",""
"130","LEAP AND BOUNDS IN LITERACY  FOR JUNIORS GRADE 4","-9","9789766060527","0","Books","","","","","","","","","","","","","","","",""
"131","PEP PERFORMANCE TASK MATH 5","14","9789769634411","0","Books","","","","","","","","","","","","","","","",""
"132","New Inte App Science 5","0","0895914001843","0","Books","","","","","","","","","","","","","","","",""
"133","EMAIL (OPEN)","-891","","0","SERVICE","","","","","","","","","","","","","","","",""
"134","Language Arts Performance Task  Prepping for PEP_x000D_
GRADE 5","15","9789769629196","0","Books","","","","","","","","","","","","","","","",""
"135","Carlong Revision Guide Junior Mathematics","7","9789766380908","0","Books","","","","","","","","","","","","","","","",""
